phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,1.536367,,7.149
val_epoch,1,0.00299926,1.246065,0.621986,4.267
train_epoch,2,0.00299704,1.175625,,7.181
val_epoch,2,0.00299704,1.166171,0.668963,4.612
train_epoch,3,0.00299335,1.121814,,7.345
val_epoch,3,0.00299335,1.147453,0.673974,4.407
train_epoch,4,0.00298818,1.094902,,7.270
val_epoch,4,0.00298818,1.122561,0.685562,4.480
train_epoch,5,0.00298154,1.079104,,7.156
val_epoch,5,0.00298154,1.109843,0.691199,4.401
train_epoch,6,0.00297344,1.065833,,7.474
val_epoch,6,0.00297344,1.103571,0.698090,4.463
train_epoch,7,0.00296389,1.062627,,7.005
val_epoch,7,0.00296389,1.097232,0.694018,4.487
train_epoch,8,0.00295289,1.056382,,7.067
val_epoch,8,0.00295289,1.100276,0.703727,4.364
train_epoch,9,0.00294046,1.054188,,7.205
val_epoch,9,0.00294046,1.097343,0.698403,4.551
train_epoch,10,0.00292661,1.052428,,7.396
val_epoch,10,0.00292661,1.092630,0.699029,4.468
train_epoch,11,0.00291135,1.045183,,7.245
val_epoch,11,0.00291135,1.086193,0.701848,4.637
train_epoch,12,0.00289470,1.041862,,7.187
val_epoch,12,0.00289470,1.082881,0.710930,4.460
train_epoch,13,0.00287667,1.040836,,7.212
val_epoch,13,0.00287667,1.084843,0.698716,4.391
train_epoch,14,0.00285729,1.044304,,7.207
val_epoch,14,0.00285729,1.076835,0.711870,4.404
train_epoch,15,0.00283656,1.034029,,7.390
val_epoch,15,0.00283656,1.081082,0.706859,4.318
train_epoch,16,0.00281452,1.037066,,7.172
val_epoch,16,0.00281452,1.077602,0.706232,4.355
train_epoch,17,0.00279118,1.029074,,7.484
val_epoch,17,0.00279118,1.079527,0.705919,4.327
train_epoch,18,0.00276657,1.033364,,7.421
val_epoch,18,0.00276657,1.075422,0.708738,4.387
train_epoch,19,0.00274071,1.029723,,6.988
val_epoch,19,0.00274071,1.074882,0.706232,4.579
train_epoch,20,0.00271362,1.028022,,7.282
val_epoch,20,0.00271362,1.073252,0.715002,4.487
train_epoch,21,0.00268534,1.026836,,7.405
val_epoch,21,0.00268534,1.068494,0.713122,4.627
train_epoch,22,0.00265588,1.023572,,6.988
val_epoch,22,0.00265588,1.070362,0.716567,4.630
train_epoch,23,0.00262529,1.022362,,7.232
val_epoch,23,0.00262529,1.080325,0.712496,4.420
train_epoch,24,0.00259359,1.022648,,7.389
val_epoch,24,0.00259359,1.065999,0.713749,4.478
train_epoch,25,0.00256081,1.019874,,7.193
val_epoch,25,0.00256081,1.067898,0.715315,4.533
train_epoch,26,0.00252698,1.020468,,7.280
val_epoch,26,0.00252698,1.065439,0.710930,4.477
train_epoch,27,0.00249214,1.020061,,7.395
val_epoch,27,0.00249214,1.068847,0.713749,4.385
train_epoch,28,0.00245632,1.018722,,7.198
val_epoch,28,0.00245632,1.058196,0.720326,4.587
train_epoch,29,0.00241955,1.015703,,7.223
val_epoch,29,0.00241955,1.063957,0.716881,4.650
train_epoch,30,0.00238188,1.016697,,7.135
val_epoch,30,0.00238188,1.076233,0.704353,4.586
train_epoch,31,0.00234334,1.017226,,7.193
val_epoch,31,0.00234334,1.060747,0.715628,4.355
train_epoch,32,0.00230397,1.015224,,7.356
val_epoch,32,0.00230397,1.059149,0.716881,4.509
train_epoch,33,0.00226381,1.011304,,7.246
val_epoch,33,0.00226381,1.056258,0.716567,4.539
train_epoch,34,0.00222289,1.010903,,7.227
val_epoch,34,0.00222289,1.057961,0.714688,4.524
train_epoch,35,0.00218126,1.008606,,7.405
val_epoch,35,0.00218126,1.055350,0.719699,4.672
train_epoch,36,0.00213896,1.007813,,7.535
val_epoch,36,0.00213896,1.059027,0.716567,4.533
train_epoch,37,0.00209602,1.008455,,7.213
val_epoch,37,0.00209602,1.059356,0.715941,4.617
train_epoch,38,0.00205250,1.008722,,7.295
val_epoch,38,0.00205250,1.054976,0.719073,4.593
train_epoch,39,0.00200844,1.006959,,7.123
val_epoch,39,0.00200844,1.065039,0.707798,4.397
train_epoch,40,0.00196387,1.005395,,7.307
val_epoch,40,0.00196387,1.055918,0.720952,4.447
train_epoch,41,0.00191885,1.003579,,7.386
val_epoch,41,0.00191885,1.057092,0.716881,4.432
train_epoch,42,0.00187341,1.007508,,7.309
val_epoch,42,0.00187341,1.052493,0.721265,4.423
train_epoch,43,0.00182761,1.005264,,7.077
val_epoch,43,0.00182761,1.054158,0.720013,4.648
train_epoch,44,0.00178148,1.005937,,7.302
val_epoch,44,0.00178148,1.056023,0.716254,4.305
train_epoch,45,0.00173507,1.009852,,7.342
val_epoch,45,0.00173507,1.055788,0.719386,4.299
train_epoch,46,0.00168844,1.005974,,7.109
val_epoch,46,0.00168844,1.053705,0.720639,4.628
train_epoch,47,0.00164162,1.001993,,7.128
val_epoch,47,0.00164162,1.050771,0.721265,4.398
train_epoch,48,0.00159465,1.002444,,7.093
val_epoch,48,0.00159465,1.061040,0.710930,4.251
train_epoch,49,0.00154760,1.002153,,7.177
val_epoch,49,0.00154760,1.055143,0.719386,4.602
train_epoch,50,0.00150050,0.999735,,7.116
val_epoch,50,0.00150050,1.053152,0.718760,4.632
train_epoch,51,0.00145340,1.000527,,7.157
val_epoch,51,0.00145340,1.049908,0.719699,4.357
train_epoch,52,0.00140635,0.998541,,7.319
val_epoch,52,0.00140635,1.054660,0.716254,4.415
train_epoch,53,0.00135938,0.998894,,7.289
val_epoch,53,0.00135938,1.050833,0.715315,4.375
train_epoch,54,0.00131256,1.000106,,7.424
val_epoch,54,0.00131256,1.053876,0.713749,4.320
train_epoch,55,0.00126593,0.997857,,7.043
val_epoch,55,0.00126593,1.054003,0.716881,4.489
train_epoch,56,0.00121952,0.997984,,7.452
val_epoch,56,0.00121952,1.050141,0.720952,4.441
train_epoch,57,0.00117339,1.000050,,7.265
val_epoch,57,0.00117339,1.047304,0.723458,4.631
train_epoch,58,0.00112759,0.997063,,7.288
val_epoch,58,0.00112759,1.047934,0.724084,4.562
train_epoch,59,0.00108215,0.996843,,7.142
val_epoch,59,0.00108215,1.047071,0.721265,4.650
train_epoch,60,0.00103713,0.993434,,7.408
val_epoch,60,0.00103713,1.048203,0.720639,4.516
train_epoch,61,0.00099256,0.996266,,7.106
val_epoch,61,0.00099256,1.051260,0.719073,4.309
train_epoch,62,0.00094850,0.993964,,7.784
val_epoch,62,0.00094850,1.046169,0.724397,4.363
train_epoch,63,0.00090498,0.993115,,7.108
val_epoch,63,0.00090498,1.047315,0.719073,4.447
train_epoch,64,0.00086204,0.991581,,7.350
val_epoch,64,0.00086204,1.046090,0.720013,4.701
train_epoch,65,0.00081974,0.991977,,7.274
val_epoch,65,0.00081974,1.046382,0.720952,4.325
train_epoch,66,0.00077811,0.992646,,7.397
val_epoch,66,0.00077811,1.048110,0.720639,4.558
train_epoch,67,0.00073719,0.993915,,7.080
val_epoch,67,0.00073719,1.045699,0.721265,4.453
train_epoch,68,0.00069703,0.993336,,7.257
val_epoch,68,0.00069703,1.047346,0.722205,4.275
train_epoch,69,0.00065766,0.992588,,7.353
val_epoch,69,0.00065766,1.046000,0.721892,4.485
train_epoch,70,0.00061912,0.991375,,7.121
val_epoch,70,0.00061912,1.045582,0.722205,4.300
train_epoch,71,0.00058145,0.990784,,7.121
val_epoch,71,0.00058145,1.046508,0.721265,4.423
train_epoch,72,0.00054468,0.990040,,7.234
val_epoch,72,0.00054468,1.044972,0.720952,4.242
train_epoch,73,0.00050886,0.991389,,7.275
val_epoch,73,0.00050886,1.048417,0.720326,4.549
train_epoch,74,0.00047402,0.990378,,7.321
val_epoch,74,0.00047402,1.046692,0.724397,4.439
train_epoch,75,0.00044019,0.991005,,7.407
val_epoch,75,0.00044019,1.046940,0.720013,4.301
train_epoch,76,0.00040741,0.988878,,7.251
val_epoch,76,0.00040741,1.045591,0.720639,4.543
train_epoch,77,0.00037571,0.988658,,7.314
val_epoch,77,0.00037571,1.046275,0.721578,4.646
train_epoch,78,0.00034512,0.988826,,7.334
val_epoch,78,0.00034512,1.044894,0.724084,4.378
train_epoch,79,0.00031566,0.989755,,7.277
val_epoch,79,0.00031566,1.045456,0.722518,4.296
train_epoch,80,0.00028738,0.987946,,7.241
val_epoch,80,0.00028738,1.044793,0.720952,4.441
train_epoch,81,0.00026029,0.988773,,7.446
val_epoch,81,0.00026029,1.044243,0.721265,4.545
train_epoch,82,0.00023443,0.989631,,7.375
val_epoch,82,0.00023443,1.043377,0.725023,4.602
train_epoch,83,0.00020982,0.987836,,7.419
val_epoch,83,0.00020982,1.043738,0.722831,4.321
train_epoch,84,0.00018648,0.986595,,7.076
val_epoch,84,0.00018648,1.043737,0.723771,4.446
train_epoch,85,0.00016444,0.988906,,7.341
val_epoch,85,0.00016444,1.044469,0.722205,4.597
train_epoch,86,0.00014371,0.988972,,6.908
val_epoch,86,0.00014371,1.044094,0.722831,4.310
train_epoch,87,0.00012433,0.987223,,6.928
val_epoch,87,0.00012433,1.043453,0.724710,4.287
train_epoch,88,0.00010630,0.987458,,7.437
val_epoch,88,0.00010630,1.043504,0.723458,4.316
train_epoch,89,0.00008965,0.985965,,7.328
val_epoch,89,0.00008965,1.043503,0.722831,4.508
train_epoch,90,0.00007439,0.986886,,7.420
val_epoch,90,0.00007439,1.043312,0.724397,4.554
train_epoch,91,0.00006054,0.986535,,7.235
val_epoch,91,0.00006054,1.043523,0.724084,4.533
train_epoch,92,0.00004811,0.986251,,7.407
val_epoch,92,0.00004811,1.043231,0.722831,4.409
train_epoch,93,0.00003711,0.985211,,7.504
val_epoch,93,0.00003711,1.043190,0.723458,4.468
train_epoch,94,0.00002756,0.986360,,7.253
val_epoch,94,0.00002756,1.043306,0.723144,4.376
train_epoch,95,0.00001946,0.984331,,7.119
val_epoch,95,0.00001946,1.043257,0.723144,4.602
train_epoch,96,0.00001282,0.986343,,7.518
val_epoch,96,0.00001282,1.043296,0.724397,4.505
train_epoch,97,0.00000765,0.985270,,7.436
val_epoch,97,0.00000765,1.043297,0.724397,4.484
train_epoch,98,0.00000396,0.987631,,7.539
val_epoch,98,0.00000396,1.043271,0.723144,4.371
train_epoch,99,0.00000174,0.984224,,7.191
val_epoch,99,0.00000174,1.043260,0.723458,4.615
train_epoch,100,0.00000100,0.987388,,7.057
val_epoch,100,0.00000100,1.043261,0.723458,4.562
