,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,35,2,9,12,0,9,4,35,2,1
t1,3,135,7,10,1,10,2,10,3,4
t2,0,5,232,2,0,3,6,2,0,0
t3,0,8,7,174,0,0,5,2,0,2
t4,0,0,1,10,6,0,0,1,2,8
t5,2,6,11,5,1,141,22,27,0,2
t6,0,0,9,3,0,14,117,33,1,2
t7,16,9,7,2,0,37,28,169,3,2
t8,1,2,0,0,0,1,1,3,135,14
t9,0,5,0,2,1,3,1,2,5,159
