,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,28,9,10,14,0,3,2,37,1,5
t1,2,129,13,19,1,1,2,12,0,6
t2,1,10,200,20,0,3,8,8,0,0
t3,0,9,25,149,1,4,4,4,0,2
t4,0,2,0,9,10,0,0,2,1,4
t5,5,8,8,9,1,121,21,41,2,1
t6,0,1,18,5,0,12,101,41,0,1
t7,17,14,5,9,0,30,27,167,4,0
t8,0,2,0,1,1,0,1,4,135,13
t9,0,10,1,2,0,2,0,3,8,152
