phase,epoch,lr,loss,acc,time_sec
train_epoch,54,0.00131256,1.002734,,7.312
val_epoch,54,0.00131256,1.052128,0.720952,4.217
train_epoch,55,0.00126593,1.001182,,7.188
val_epoch,55,0.00126593,1.052007,0.717820,4.618
train_epoch,56,0.00121952,1.000666,,7.172
val_epoch,56,0.00121952,1.050512,0.721578,4.585
train_epoch,57,0.00117339,1.003805,,7.305
val_epoch,57,0.00117339,1.045751,0.721578,4.662
train_epoch,58,0.00112759,1.000057,,7.071
val_epoch,58,0.00112759,1.046961,0.725337,4.475
train_epoch,59,0.00108215,0.999767,,7.391
val_epoch,59,0.00108215,1.045062,0.722831,4.578
train_epoch,60,0.00103713,0.996970,,7.147
val_epoch,60,0.00103713,1.047070,0.722831,4.379
train_epoch,61,0.00099256,0.999542,,7.309
val_epoch,61,0.00099256,1.049395,0.716567,4.476
train_epoch,62,0.00094850,0.997020,,7.248
val_epoch,62,0.00094850,1.044550,0.724397,4.576
train_epoch,63,0.00090498,0.995987,,7.120
val_epoch,63,0.00090498,1.045802,0.725963,4.562
train_epoch,64,0.00086204,0.994166,,7.181
val_epoch,64,0.00086204,1.044436,0.724710,4.673
train_epoch,65,0.00081974,0.994982,,7.442
val_epoch,65,0.00081974,1.044644,0.723458,4.435
train_epoch,66,0.00077811,0.995818,,7.369
val_epoch,66,0.00077811,1.045799,0.722831,4.627
train_epoch,67,0.00073719,0.996307,,7.123
val_epoch,67,0.00073719,1.044509,0.725650,4.544
train_epoch,68,0.00069703,0.996308,,7.151
val_epoch,68,0.00069703,1.045793,0.722831,4.569
train_epoch,69,0.00065766,0.996096,,7.330
val_epoch,69,0.00065766,1.044071,0.724397,4.612
train_epoch,70,0.00061912,0.994306,,7.144
val_epoch,70,0.00061912,1.044041,0.725023,4.395
train_epoch,71,0.00058145,0.993934,,7.095
val_epoch,71,0.00058145,1.045256,0.720639,4.398
train_epoch,72,0.00054468,0.992915,,7.086
val_epoch,72,0.00054468,1.043550,0.724397,4.564
train_epoch,73,0.00050886,0.994174,,7.095
val_epoch,73,0.00050886,1.046172,0.720952,4.410
train_epoch,74,0.00047402,0.993406,,7.147
val_epoch,74,0.00047402,1.044833,0.726276,4.543
train_epoch,75,0.00044019,0.994000,,7.290
val_epoch,75,0.00044019,1.045294,0.723771,4.438
train_epoch,76,0.00040741,0.992007,,7.234
val_epoch,76,0.00040741,1.043778,0.724084,4.582
train_epoch,77,0.00037571,0.991219,,7.246
val_epoch,77,0.00037571,1.043941,0.720639,4.550
train_epoch,78,0.00034512,0.991971,,7.451
val_epoch,78,0.00034512,1.043287,0.723458,4.532
train_epoch,79,0.00031566,0.992722,,7.114
val_epoch,79,0.00031566,1.044234,0.724084,4.370
train_epoch,80,0.00028738,0.990737,,7.130
val_epoch,80,0.00028738,1.043418,0.725337,4.477
train_epoch,81,0.00026029,0.991929,,7.228
val_epoch,81,0.00026029,1.042540,0.722518,4.477
train_epoch,82,0.00023443,0.993122,,7.346
val_epoch,82,0.00023443,1.041794,0.724397,4.584
train_epoch,83,0.00020982,0.990996,,7.404
val_epoch,83,0.00020982,1.042055,0.723144,4.491
train_epoch,84,0.00018648,0.989581,,7.518
val_epoch,84,0.00018648,1.042077,0.724710,4.354
train_epoch,85,0.00016444,0.991939,,7.254
val_epoch,85,0.00016444,1.042925,0.724710,4.653
train_epoch,86,0.00014371,0.992184,,7.168
val_epoch,86,0.00014371,1.042419,0.723144,4.557
train_epoch,87,0.00012433,0.990265,,7.215
val_epoch,87,0.00012433,1.041821,0.725650,4.550
train_epoch,88,0.00010630,0.990606,,7.215
val_epoch,88,0.00010630,1.041909,0.723458,4.420
train_epoch,89,0.00008965,0.989082,,7.232
val_epoch,89,0.00008965,1.041827,0.724710,4.324
train_epoch,90,0.00007439,0.989816,,7.164
val_epoch,90,0.00007439,1.041768,0.723144,4.658
train_epoch,91,0.00006054,0.989720,,7.129
val_epoch,91,0.00006054,1.041930,0.723144,4.509
train_epoch,92,0.00004811,0.989316,,7.229
val_epoch,92,0.00004811,1.041639,0.723458,4.303
train_epoch,93,0.00003711,0.987894,,7.264
val_epoch,93,0.00003711,1.041610,0.724710,4.378
train_epoch,94,0.00002756,0.988943,,7.071
val_epoch,94,0.00002756,1.041684,0.724397,4.623
