,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,33,3,11,12,0,5,3,36,2,4
t1,5,118,12,12,2,9,1,15,4,7
t2,0,6,229,6,0,2,4,2,0,1
t3,0,9,17,166,0,0,2,3,0,1
t4,0,0,0,12,5,0,0,2,2,7
t5,5,10,17,7,0,109,26,41,2,0
t6,1,1,17,3,0,11,109,34,0,3
t7,17,8,6,4,1,25,23,182,2,5
t8,1,3,0,0,0,0,2,2,127,22
t9,2,4,1,3,2,3,0,1,7,155
