phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,1.652421,,10.014
val_epoch,1,0.00299926,1.403627,0.547761,4.726
train_epoch,2,0.00299704,1.320062,,7.219
val_epoch,2,0.00299704,1.297049,0.612903,4.587
train_epoch,3,0.00299335,1.260448,,7.543
val_epoch,3,0.00299335,1.260662,0.616035,4.576
train_epoch,4,0.00298818,1.229911,,7.151
val_epoch,4,0.00298818,1.249812,0.624178,4.566
train_epoch,5,0.00298154,1.210442,,7.116
val_epoch,5,0.00298154,1.218592,0.637645,4.513
train_epoch,6,0.00297344,1.187474,,7.404
val_epoch,6,0.00297344,1.212135,0.645161,4.628
train_epoch,7,0.00296389,1.182802,,7.205
val_epoch,7,0.00296389,1.212707,0.638898,4.488
train_epoch,8,0.00295289,1.176237,,6.981
val_epoch,8,0.00295289,1.217554,0.642029,4.568
train_epoch,9,0.00294046,1.172134,,7.012
val_epoch,9,0.00294046,1.191835,0.652051,4.567
train_epoch,10,0.00292661,1.160145,,7.346
val_epoch,10,0.00292661,1.191656,0.646414,4.358
train_epoch,11,0.00291135,1.158809,,7.147
val_epoch,11,0.00291135,1.194747,0.658941,4.584
train_epoch,12,0.00289470,1.153464,,7.496
val_epoch,12,0.00289470,1.180788,0.661134,4.353
train_epoch,13,0.00287667,1.148354,,7.243
val_epoch,13,0.00287667,1.173920,0.660821,4.391
train_epoch,14,0.00285729,1.145167,,6.922
val_epoch,14,0.00285729,1.179251,0.657376,4.618
train_epoch,15,0.00283656,1.139856,,7.410
val_epoch,15,0.00283656,1.169887,0.667711,4.596
train_epoch,16,0.00281452,1.140980,,7.192
val_epoch,16,0.00281452,1.170976,0.661134,4.436
train_epoch,17,0.00279118,1.138450,,7.239
val_epoch,17,0.00279118,1.170137,0.670216,4.562
train_epoch,18,0.00276657,1.136099,,7.385
val_epoch,18,0.00276657,1.163209,0.673035,4.624
train_epoch,19,0.00274071,1.132833,,7.241
val_epoch,19,0.00274071,1.178669,0.655496,4.496
train_epoch,20,0.00271362,1.132335,,6.963
val_epoch,20,0.00271362,1.169336,0.671156,4.425
train_epoch,21,0.00268534,1.128839,,7.325
val_epoch,21,0.00268534,1.160042,0.675853,4.519
train_epoch,22,0.00265588,1.122359,,7.115
val_epoch,22,0.00265588,1.168620,0.662386,4.431
train_epoch,23,0.00262529,1.124917,,7.478
val_epoch,23,0.00262529,1.168960,0.669590,4.583
train_epoch,24,0.00259359,1.122087,,7.141
val_epoch,24,0.00259359,1.157255,0.675540,4.551
train_epoch,25,0.00256081,1.118416,,7.338
val_epoch,25,0.00256081,1.149462,0.679612,4.344
train_epoch,26,0.00252698,1.123441,,7.273
val_epoch,26,0.00252698,1.155579,0.677419,4.407
train_epoch,27,0.00249214,1.121662,,6.936
val_epoch,27,0.00249214,1.155840,0.675853,4.558
train_epoch,28,0.00245632,1.118117,,7.260
val_epoch,28,0.00245632,1.153556,0.677733,4.597
