,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,37,3,10,9,0,11,2,32,3,2
t1,2,132,8,9,1,11,2,10,4,6
t2,1,6,230,0,0,4,9,0,0,0
t3,1,8,8,171,0,0,5,3,0,2
t4,0,0,0,9,8,0,0,1,3,7
t5,4,8,11,5,0,146,21,21,0,1
t6,0,1,12,2,0,16,116,30,1,1
t7,19,9,7,4,0,50,25,152,3,4
t8,0,3,0,0,1,1,1,2,133,16
t9,0,4,0,3,0,4,2,1,8,156
