,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,26,2,19,11,3,11,3,24,5,5
t1,4,104,17,11,0,12,2,17,4,14
t2,1,3,228,2,0,2,9,2,0,3
t3,3,8,5,162,0,3,3,9,1,4
t4,2,1,1,3,12,1,0,2,1,5
t5,6,13,4,1,1,157,8,17,6,4
t6,2,0,16,2,0,21,94,39,3,2
t7,19,9,9,7,1,31,27,161,5,4
t8,2,5,0,0,0,3,2,2,139,4
t9,3,2,0,5,3,4,2,3,14,142
