phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,1.640731,,11.157
val_epoch,1,0.00299926,1.336010,0.594425,6.164
train_epoch,2,0.00299704,1.252208,,11.800
val_epoch,2,0.00299704,1.225105,0.644535,6.983
train_epoch,3,0.00299335,1.180852,,11.885
val_epoch,3,0.00299335,1.201242,0.648920,7.194
train_epoch,4,0.00298818,1.147066,,11.441
val_epoch,4,0.00298818,1.164031,0.659568,6.269
train_epoch,5,0.00298154,1.127384,,10.447
val_epoch,5,0.00298154,1.149334,0.671469,6.296
train_epoch,6,0.00297344,1.112703,,11.124
val_epoch,6,0.00297344,1.140286,0.678359,6.269
train_epoch,7,0.00296389,1.107213,,10.475
val_epoch,7,0.00296389,1.133932,0.679298,6.281
train_epoch,8,0.00295289,1.100374,,10.924
val_epoch,8,0.00295289,1.131070,0.686502,6.425
train_epoch,9,0.00294046,1.098111,,10.490
val_epoch,9,0.00294046,1.132141,0.677106,6.348
train_epoch,10,0.00292661,1.094613,,10.746
val_epoch,10,0.00292661,1.131606,0.675540,6.172
train_epoch,11,0.00291135,1.089290,,10.408
val_epoch,11,0.00291135,1.121926,0.686815,6.150
train_epoch,12,0.00289470,1.084486,,11.125
val_epoch,12,0.00289470,1.118988,0.689320,6.409
train_epoch,13,0.00287667,1.084166,,10.479
val_epoch,13,0.00287667,1.119282,0.688381,6.657
train_epoch,14,0.00285729,1.083605,,10.340
val_epoch,14,0.00285729,1.110276,0.697150,6.518
train_epoch,15,0.00283656,1.076221,,10.742
val_epoch,15,0.00283656,1.113766,0.692139,6.947
train_epoch,16,0.00281452,1.077971,,10.453
val_epoch,16,0.00281452,1.111477,0.690886,6.757
train_epoch,17,0.00279118,1.070860,,10.414
val_epoch,17,0.00279118,1.113614,0.692139,6.365
train_epoch,18,0.00276657,1.075088,,10.638
val_epoch,18,0.00276657,1.109596,0.698090,6.162
train_epoch,19,0.00274071,1.070259,,10.606
val_epoch,19,0.00274071,1.107680,0.694645,6.291
train_epoch,20,0.00271362,1.069323,,10.627
val_epoch,20,0.00271362,1.107085,0.697463,6.219
train_epoch,21,0.00268534,1.069848,,10.938
val_epoch,21,0.00268534,1.103528,0.692452,6.623
train_epoch,22,0.00265588,1.065837,,10.768
val_epoch,22,0.00265588,1.105822,0.693705,6.414
train_epoch,23,0.00262529,1.064352,,10.468
val_epoch,23,0.00262529,1.115524,0.695897,6.318
train_epoch,24,0.00259359,1.066118,,10.806
val_epoch,24,0.00259359,1.099446,0.702474,6.556
train_epoch,25,0.00256081,1.062384,,11.272
val_epoch,25,0.00256081,1.103989,0.699969,6.441
train_epoch,26,0.00252698,1.062663,,10.680
val_epoch,26,0.00252698,1.099083,0.696837,6.937
train_epoch,27,0.00249214,1.063765,,10.760
val_epoch,27,0.00249214,1.104127,0.694331,6.514
train_epoch,28,0.00245632,1.061400,,10.903
val_epoch,28,0.00245632,1.093645,0.702474,6.642
train_epoch,29,0.00241955,1.058122,,10.546
val_epoch,29,0.00241955,1.099467,0.701848,6.863
train_epoch,30,0.00238188,1.058721,,10.702
val_epoch,30,0.00238188,1.108249,0.692765,6.213
train_epoch,31,0.00234334,1.060117,,10.559
val_epoch,31,0.00234334,1.094935,0.704040,6.499
train_epoch,32,0.00230397,1.058149,,10.096
val_epoch,32,0.00230397,1.093602,0.699029,6.793
train_epoch,33,0.00226381,1.054652,,10.513
val_epoch,33,0.00226381,1.092630,0.699342,6.359
train_epoch,34,0.00222289,1.055130,,10.443
val_epoch,34,0.00222289,1.097058,0.701221,6.233
train_epoch,35,0.00218126,1.051874,,10.764
val_epoch,35,0.00218126,1.090786,0.700282,6.280
train_epoch,36,0.00213896,1.051718,,10.358
val_epoch,36,0.00213896,1.094331,0.693079,6.223
train_epoch,37,0.00209602,1.052213,,10.361
val_epoch,37,0.00209602,1.092110,0.702161,6.389
train_epoch,38,0.00205250,1.052006,,10.189
val_epoch,38,0.00205250,1.090886,0.702787,6.796
train_epoch,39,0.00200844,1.050644,,10.773
val_epoch,39,0.00200844,1.098099,0.693079,6.423
train_epoch,40,0.00196387,1.050124,,10.516
val_epoch,40,0.00196387,1.091719,0.701535,6.668
train_epoch,41,0.00191885,1.048282,,10.942
val_epoch,41,0.00191885,1.093926,0.704353,6.545
train_epoch,42,0.00187341,1.051001,,11.056
val_epoch,42,0.00187341,1.087241,0.704980,6.559
train_epoch,43,0.00182761,1.047945,,10.498
val_epoch,43,0.00182761,1.088741,0.703727,6.419
train_epoch,44,0.00178148,1.049273,,10.417
val_epoch,44,0.00178148,1.092568,0.701221,6.407
train_epoch,45,0.00173507,1.051419,,10.626
val_epoch,45,0.00173507,1.091001,0.702474,6.722
train_epoch,46,0.00168844,1.050425,,10.748
val_epoch,46,0.00168844,1.086878,0.703414,6.862
train_epoch,47,0.00164162,1.046096,,10.650
val_epoch,47,0.00164162,1.089004,0.699969,6.732
train_epoch,48,0.00159465,1.046783,,10.902
val_epoch,48,0.00159465,1.093639,0.698716,6.484
train_epoch,49,0.00154760,1.045835,,10.475
val_epoch,49,0.00154760,1.092144,0.701221,6.334
train_epoch,50,0.00150050,1.044714,,11.052
val_epoch,50,0.00150050,1.089517,0.700282,6.875
train_epoch,51,0.00145340,1.045450,,10.489
val_epoch,51,0.00145340,1.085230,0.705606,6.509
