,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,23,3,10,12,0,10,5,42,2,2
t1,0,131,9,11,0,9,3,12,5,5
t2,0,6,227,2,0,5,10,0,0,0
t3,0,10,8,172,0,1,4,1,0,2
t4,0,1,1,13,7,0,0,1,2,3
t5,3,6,14,6,0,127,25,34,2,0
t6,1,0,9,4,0,15,117,29,2,2
t7,14,11,8,3,1,38,30,162,3,3
t8,0,3,0,0,1,0,1,4,136,12
t9,0,6,1,3,1,2,1,2,7,155
