,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,34,3,12,10,0,8,4,35,1,2
t1,2,139,10,5,0,5,3,10,4,7
t2,0,5,235,2,0,2,6,0,0,0
t3,0,8,9,171,0,0,3,4,1,2
t4,0,0,0,12,4,0,0,2,3,7
t5,3,8,11,4,1,131,26,30,2,1
t6,2,1,12,3,0,9,116,35,0,1
t7,15,5,8,3,0,35,29,171,3,4
t8,1,2,0,0,1,1,1,4,129,18
t9,0,4,1,4,0,2,1,2,8,156
