phase,epoch,lr,loss,acc,time_sec
train_epoch,54,0.00131256,1.020403,,7.333
val_epoch,54,0.00131256,1.069423,0.710617,4.623
train_epoch,55,0.00126593,1.018577,,7.258
val_epoch,55,0.00126593,1.071414,0.708111,4.438
train_epoch,56,0.00121952,1.018221,,7.316
val_epoch,56,0.00121952,1.068579,0.710304,4.435
train_epoch,57,0.00117339,1.021165,,7.347
val_epoch,57,0.00117339,1.065156,0.711870,4.617
train_epoch,58,0.00112759,1.017344,,7.271
val_epoch,58,0.00112759,1.065890,0.716881,4.411
train_epoch,59,0.00108215,1.017244,,7.281
val_epoch,59,0.00108215,1.063601,0.715002,4.295
train_epoch,60,0.00103713,1.014474,,7.103
val_epoch,60,0.00103713,1.065393,0.715941,4.557
train_epoch,61,0.00099256,1.016879,,6.934
val_epoch,61,0.00099256,1.068565,0.711870,4.566
train_epoch,62,0.00094850,1.014504,,7.187
val_epoch,62,0.00094850,1.063472,0.713122,4.481
train_epoch,63,0.00090498,1.013613,,7.416
val_epoch,63,0.00090498,1.063798,0.714688,4.582
train_epoch,64,0.00086204,1.011690,,7.080
val_epoch,64,0.00086204,1.063215,0.713749,4.372
train_epoch,65,0.00081974,1.012272,,7.316
val_epoch,65,0.00081974,1.063117,0.713436,4.609
train_epoch,66,0.00077811,1.013858,,7.333
val_epoch,66,0.00077811,1.064866,0.715628,4.637
train_epoch,67,0.00073719,1.014202,,7.184
val_epoch,67,0.00073719,1.063728,0.712496,4.492
train_epoch,68,0.00069703,1.014006,,7.275
val_epoch,68,0.00069703,1.064111,0.712809,4.632
train_epoch,69,0.00065766,1.013014,,7.097
val_epoch,69,0.00065766,1.062563,0.716254,4.217
train_epoch,70,0.00061912,1.011903,,7.090
val_epoch,70,0.00061912,1.063567,0.713749,4.408
train_epoch,71,0.00058145,1.011259,,7.116
val_epoch,71,0.00058145,1.063738,0.712809,4.605
train_epoch,72,0.00054468,1.010669,,7.079
val_epoch,72,0.00054468,1.062672,0.715941,4.392
train_epoch,73,0.00050886,1.011700,,7.291
val_epoch,73,0.00050886,1.065122,0.715628,4.604
train_epoch,74,0.00047402,1.010913,,7.259
val_epoch,74,0.00047402,1.063886,0.712496,4.422
train_epoch,75,0.00044019,1.011704,,7.019
val_epoch,75,0.00044019,1.064083,0.712496,4.567
train_epoch,76,0.00040741,1.009556,,7.094
val_epoch,76,0.00040741,1.062832,0.717194,4.641
train_epoch,77,0.00037571,1.008793,,7.357
val_epoch,77,0.00037571,1.063225,0.715002,4.400
train_epoch,78,0.00034512,1.009402,,7.319
val_epoch,78,0.00034512,1.062186,0.715315,4.489
train_epoch,79,0.00031566,1.010428,,7.170
val_epoch,79,0.00031566,1.062937,0.717194,4.534
train_epoch,80,0.00028738,1.008421,,7.275
val_epoch,80,0.00028738,1.062476,0.712809,4.514
train_epoch,81,0.00026029,1.009245,,7.346
val_epoch,81,0.00026029,1.061992,0.715315,4.438
train_epoch,82,0.00023443,1.010871,,7.041
val_epoch,82,0.00023443,1.061020,0.713122,4.490
train_epoch,83,0.00020982,1.008941,,7.340
val_epoch,83,0.00020982,1.061306,0.717507,4.461
train_epoch,84,0.00018648,1.007448,,7.237
val_epoch,84,0.00018648,1.061006,0.713749,4.473
train_epoch,85,0.00016444,1.009832,,7.479
val_epoch,85,0.00016444,1.061956,0.715628,4.630
train_epoch,86,0.00014371,1.010035,,6.926
val_epoch,86,0.00014371,1.061482,0.714688,4.505
train_epoch,87,0.00012433,1.008026,,7.303
val_epoch,87,0.00012433,1.060834,0.714688,4.396
train_epoch,88,0.00010630,1.008098,,7.527
val_epoch,88,0.00010630,1.061087,0.713436,4.642
train_epoch,89,0.00008965,1.006255,,7.441
val_epoch,89,0.00008965,1.060951,0.714062,4.508
train_epoch,90,0.00007439,1.007312,,7.094
val_epoch,90,0.00007439,1.060873,0.714688,4.573
train_epoch,91,0.00006054,1.007379,,7.162
val_epoch,91,0.00006054,1.061018,0.713122,4.627
train_epoch,92,0.00004811,1.007381,,7.288
val_epoch,92,0.00004811,1.060680,0.714062,4.546
train_epoch,93,0.00003711,1.005959,,7.349
val_epoch,93,0.00003711,1.060659,0.715002,4.455
train_epoch,94,0.00002756,1.006845,,7.310
val_epoch,94,0.00002756,1.060679,0.715315,4.434
train_epoch,95,0.00001946,1.005151,,7.219
val_epoch,95,0.00001946,1.060706,0.715002,4.556
train_epoch,96,0.00001282,1.007382,,7.334
val_epoch,96,0.00001282,1.060746,0.714688,4.638
train_epoch,97,0.00000765,1.005637,,7.308
val_epoch,97,0.00000765,1.060760,0.712496,4.511
train_epoch,98,0.00000396,1.008691,,7.009
val_epoch,98,0.00000396,1.060715,0.715315,4.560
train_epoch,99,0.00000174,1.005027,,7.183
val_epoch,99,0.00000174,1.060709,0.715315,4.549
train_epoch,100,0.00000100,1.008342,,7.462
val_epoch,100,0.00000100,1.060711,0.715315,4.584
