,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,32,2,12,11,0,12,5,30,2,3
t1,3,135,6,11,0,11,3,8,4,4
t2,0,6,224,3,0,6,10,1,0,0
t3,0,8,20,160,1,1,3,4,0,1
t4,1,0,0,12,3,0,0,2,2,8
t5,4,6,8,4,1,139,29,22,3,1
t6,1,0,6,3,0,12,126,28,1,2
t7,17,9,7,1,0,39,34,160,1,5
t8,2,0,0,0,0,1,2,5,125,22
t9,0,3,2,4,1,3,2,2,8,153
