,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,30,2,13,9,0,7,8,36,2,2
t1,4,128,8,7,0,10,3,12,5,8
t2,0,5,205,19,0,4,14,2,0,1
t3,1,10,33,145,0,1,6,1,0,1
t4,1,0,1,15,3,0,0,1,2,5
t5,5,7,11,5,1,114,37,36,1,0
t6,1,1,6,3,0,15,123,28,1,1
t7,17,8,9,1,0,38,38,157,2,3
t8,1,2,0,0,1,0,3,4,132,14
t9,2,8,2,2,5,2,2,1,7,147
