,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,31,3,10,10,0,10,5,36,2,2
t1,3,136,9,3,1,8,2,12,4,7
t2,0,5,229,1,0,4,10,1,0,0
t3,0,7,9,171,0,0,4,4,0,3
t4,0,0,0,10,6,0,0,1,2,9
t5,2,9,10,5,0,133,28,28,1,1
t6,0,1,11,2,0,8,119,36,1,1
t7,13,9,6,1,1,30,36,171,2,4
t8,1,2,0,0,0,0,1,4,132,17
t9,0,5,1,1,0,2,1,2,4,162
