,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,26,3,10,12,0,9,5,42,1,1
t1,4,129,10,5,0,5,3,19,5,5
t2,0,3,235,1,0,1,8,1,0,1
t3,0,5,10,172,0,0,5,2,0,4
t4,0,0,1,12,4,0,0,1,2,8
t5,3,4,10,6,1,135,26,29,3,0
t6,0,0,11,2,0,9,121,33,1,2
t7,12,5,7,2,1,32,35,173,1,5
t8,1,2,0,0,0,0,1,4,133,16
t9,0,3,1,4,0,2,1,2,4,161
