,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,31,6,12,10,0,8,1,38,1,2
t1,3,135,9,8,1,10,1,10,4,4
t2,1,8,215,8,0,5,9,4,0,0
t3,1,12,22,149,1,3,2,6,0,2
t4,1,3,0,9,6,0,0,2,2,5
t5,6,7,11,4,0,116,28,43,0,2
t6,3,1,7,2,0,16,102,45,1,2
t7,18,12,7,2,0,45,16,169,2,2
t8,2,4,0,0,1,0,1,3,126,20
t9,1,11,1,3,0,2,0,1,5,154
