,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,42,4,8,11,1,8,1,29,5,0
t1,5,155,3,3,0,2,0,13,1,3
t2,3,3,239,0,0,1,4,0,0,0
t3,2,4,1,186,0,1,3,0,0,1
t4,0,0,0,8,13,0,1,0,1,5
t5,7,3,6,3,0,151,17,28,2,0
t6,1,1,7,3,0,6,123,37,1,0
t7,24,5,4,3,0,18,30,185,3,1
t8,0,0,0,0,2,1,1,3,146,4
t9,1,1,0,1,1,3,1,1,5,164
