,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,0,0,28,0,0,0,0,78,0,3
t1,0,0,102,0,0,0,0,75,0,8
t2,0,0,175,0,0,0,0,71,0,4
t3,0,0,110,0,0,0,0,85,0,3
t4,0,0,13,0,0,0,0,15,0,0
t5,0,0,46,0,0,0,0,171,0,0
t6,0,0,15,0,0,0,0,164,0,0
t7,0,0,35,0,0,0,0,235,0,3
t8,0,0,33,0,0,0,0,122,0,2
t9,0,0,136,0,0,0,0,29,0,13
