,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,33,4,10,10,0,9,6,32,1,4
t1,5,139,9,6,1,8,2,9,2,4
t2,0,7,234,1,0,1,6,1,0,0
t3,0,9,7,174,0,0,4,1,0,3
t4,0,0,0,11,4,0,0,1,2,10
t5,3,8,11,3,1,139,22,28,0,2
t6,2,1,14,2,0,13,115,30,0,2
t7,15,8,10,3,1,31,30,170,2,3
t8,2,2,0,0,0,1,1,3,125,23
t9,0,5,1,3,0,2,1,2,4,160
