,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,39,3,10,11,0,11,3,29,2,1
t1,1,159,6,5,0,1,0,10,1,2
t2,0,1,228,5,0,2,11,3,0,0
t3,3,5,18,169,0,0,2,0,0,1
t4,1,1,0,12,8,1,1,0,2,2
t5,5,5,8,1,0,146,21,29,2,0
t6,0,1,3,3,0,4,142,25,1,0
t7,17,6,6,3,0,26,31,179,4,1
t8,0,1,0,0,0,2,2,1,143,8
t9,0,3,0,2,0,3,1,2,3,164
