,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,0,2,29,6,0,0,2,65,0,5
t1,0,13,77,14,0,4,24,24,2,27
t2,0,8,153,20,0,10,5,23,0,31
t3,0,2,87,35,0,3,1,31,0,39
t4,0,1,8,8,0,0,1,6,0,4
t5,0,1,29,6,0,13,65,72,1,30
t6,0,2,9,4,0,9,64,75,3,13
t7,0,0,22,14,0,10,41,167,2,17
t8,0,3,10,3,0,1,37,69,10,24
t9,0,3,63,18,0,2,7,4,2,79
