,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,25,4,12,10,0,11,3,40,3,1
t1,3,137,10,8,1,9,2,8,3,4
t2,0,5,230,1,0,4,10,0,0,0
t3,0,9,11,168,1,1,3,2,0,3
t4,0,1,0,13,5,0,0,1,3,5
t5,4,7,8,6,1,131,26,33,1,0
t6,0,1,10,4,0,11,119,32,1,1
t7,11,10,8,3,1,44,32,159,3,2
t8,1,3,0,0,1,0,2,3,135,12
t9,1,7,1,4,0,2,1,2,6,154
