phase,epoch,lr,loss,acc,time_sec
train_epoch,1,0.00299926,1.620481,,7.074
val_epoch,1,0.00299926,1.306785,0.607266,4.378
train_epoch,2,0.00299704,1.226272,,7.454
val_epoch,2,0.00299704,1.205250,0.654557,4.630
train_epoch,3,0.00299335,1.161085,,7.354
val_epoch,3,0.00299335,1.181477,0.661447,4.573
train_epoch,4,0.00298818,1.130555,,7.559
val_epoch,4,0.00298818,1.148374,0.668024,4.517
train_epoch,5,0.00298154,1.112206,,7.168
val_epoch,5,0.00298154,1.134946,0.682430,4.646
train_epoch,6,0.00297344,1.098043,,7.249
val_epoch,6,0.00297344,1.125817,0.689634,4.615
train_epoch,7,0.00296389,1.093989,,7.168
val_epoch,7,0.00296389,1.119664,0.689320,4.332
train_epoch,8,0.00295289,1.087617,,7.022
val_epoch,8,0.00295289,1.117873,0.694958,4.535
train_epoch,9,0.00294046,1.084245,,7.565
val_epoch,9,0.00294046,1.120734,0.685562,4.594
train_epoch,10,0.00292661,1.081772,,7.102
val_epoch,10,0.00292661,1.115205,0.688068,4.619
train_epoch,11,0.00291135,1.075658,,7.283
val_epoch,11,0.00291135,1.107919,0.690573,4.436
train_epoch,12,0.00289470,1.072456,,7.308
val_epoch,12,0.00289470,1.105953,0.694958,4.420
train_epoch,13,0.00287667,1.070423,,7.270
val_epoch,13,0.00287667,1.105242,0.695584,4.450
train_epoch,14,0.00285729,1.072220,,7.287
val_epoch,14,0.00285729,1.098377,0.700595,4.586
train_epoch,15,0.00283656,1.063140,,7.154
val_epoch,15,0.00283656,1.099852,0.699342,4.728
train_epoch,16,0.00281452,1.065097,,7.528
val_epoch,16,0.00281452,1.097670,0.699969,4.663
train_epoch,17,0.00279118,1.058942,,7.411
val_epoch,17,0.00279118,1.100417,0.699342,4.481
train_epoch,18,0.00276657,1.062779,,7.270
val_epoch,18,0.00276657,1.095127,0.696524,4.557
train_epoch,19,0.00274071,1.057787,,7.482
val_epoch,19,0.00274071,1.094698,0.701221,4.462
train_epoch,20,0.00271362,1.057129,,7.177
val_epoch,20,0.00271362,1.093530,0.699342,4.670
train_epoch,21,0.00268534,1.057097,,7.490
val_epoch,21,0.00268534,1.089533,0.703101,4.477
train_epoch,22,0.00265588,1.052722,,7.338
val_epoch,22,0.00265588,1.091084,0.700595,4.594
train_epoch,23,0.00262529,1.051146,,7.399
val_epoch,23,0.00262529,1.101511,0.701535,4.507
train_epoch,24,0.00259359,1.052279,,7.548
val_epoch,24,0.00259359,1.084839,0.705606,4.446
train_epoch,25,0.00256081,1.049110,,7.160
val_epoch,25,0.00256081,1.087335,0.704666,4.705
train_epoch,26,0.00252698,1.049308,,7.264
val_epoch,26,0.00252698,1.085153,0.704040,4.520
train_epoch,27,0.00249214,1.050488,,7.437
val_epoch,27,0.00249214,1.089743,0.701535,4.465
train_epoch,28,0.00245632,1.047663,,7.441
val_epoch,28,0.00245632,1.079502,0.706232,4.614
train_epoch,29,0.00241955,1.045030,,7.257
val_epoch,29,0.00241955,1.083661,0.703414,4.492
train_epoch,30,0.00238188,1.046052,,7.351
val_epoch,30,0.00238188,1.096105,0.695897,4.493
train_epoch,31,0.00234334,1.047821,,7.224
val_epoch,31,0.00234334,1.082320,0.699969,4.660
train_epoch,32,0.00230397,1.044876,,7.121
val_epoch,32,0.00230397,1.080416,0.703414,4.330
train_epoch,33,0.00226381,1.041550,,7.280
val_epoch,33,0.00226381,1.078387,0.705919,4.437
train_epoch,34,0.00222289,1.041059,,7.385
val_epoch,34,0.00222289,1.080503,0.704666,4.489
train_epoch,35,0.00218126,1.038828,,7.251
val_epoch,35,0.00218126,1.076189,0.708111,4.406
train_epoch,36,0.00213896,1.037588,,7.267
val_epoch,36,0.00213896,1.079996,0.702787,4.432
train_epoch,37,0.00209602,1.038890,,7.158
val_epoch,37,0.00209602,1.078875,0.704980,4.377
train_epoch,38,0.00205250,1.038856,,7.231
val_epoch,38,0.00205250,1.076178,0.708738,4.490
train_epoch,39,0.00200844,1.036444,,7.014
val_epoch,39,0.00200844,1.083073,0.694958,4.458
train_epoch,40,0.00196387,1.035568,,7.265
val_epoch,40,0.00196387,1.076445,0.706859,4.371
train_epoch,41,0.00191885,1.033990,,7.163
val_epoch,41,0.00191885,1.079577,0.706546,4.672
train_epoch,42,0.00187341,1.037000,,7.371
val_epoch,42,0.00187341,1.072219,0.707485,4.488
train_epoch,43,0.00182761,1.034257,,7.423
val_epoch,43,0.00182761,1.075092,0.707798,4.496
train_epoch,44,0.00178148,1.035536,,7.513
val_epoch,44,0.00178148,1.077527,0.704040,4.466
train_epoch,45,0.00173507,1.037935,,7.299
val_epoch,45,0.00173507,1.076016,0.705919,4.446
train_epoch,46,0.00168844,1.035699,,7.144
val_epoch,46,0.00168844,1.073101,0.708738,4.351
train_epoch,47,0.00164162,1.032076,,7.320
val_epoch,47,0.00164162,1.073784,0.702787,4.472
train_epoch,48,0.00159465,1.032291,,7.367
val_epoch,48,0.00159465,1.078967,0.705606,4.438
train_epoch,49,0.00154760,1.031773,,7.306
val_epoch,49,0.00154760,1.076227,0.709677,4.650
train_epoch,50,0.00150050,1.030484,,7.287
val_epoch,50,0.00150050,1.075053,0.708425,4.604
train_epoch,51,0.00145340,1.031040,,7.078
val_epoch,51,0.00145340,1.070694,0.705919,4.382
train_epoch,52,0.00140635,1.028958,,7.108
val_epoch,52,0.00140635,1.073462,0.704980,4.479
train_epoch,53,0.00135938,1.029428,,7.329
val_epoch,53,0.00135938,1.071764,0.705919,4.574
train_epoch,54,0.00131256,1.030120,,7.321
val_epoch,54,0.00131256,1.073128,0.706859,4.421
train_epoch,55,0.00126593,1.028355,,7.576
val_epoch,55,0.00126593,1.072914,0.705919,4.545
train_epoch,56,0.00121952,1.027710,,7.437
val_epoch,56,0.00121952,1.071155,0.709051,4.564
train_epoch,57,0.00117339,1.030097,,7.105
val_epoch,57,0.00117339,1.068122,0.709364,4.378
train_epoch,58,0.00112759,1.027066,,7.120
val_epoch,58,0.00112759,1.070121,0.709677,4.541
train_epoch,59,0.00108215,1.027141,,7.130
val_epoch,59,0.00108215,1.067220,0.709677,4.472
train_epoch,60,0.00103713,1.024370,,7.232
val_epoch,60,0.00103713,1.068631,0.707485,4.663
train_epoch,61,0.00099256,1.026768,,7.214
val_epoch,61,0.00099256,1.071409,0.706546,4.448
train_epoch,62,0.00094850,1.024599,,7.569
val_epoch,62,0.00094850,1.067354,0.710304,4.484
train_epoch,63,0.00090498,1.023756,,7.055
val_epoch,63,0.00090498,1.068476,0.710304,4.534
train_epoch,64,0.00086204,1.021575,,7.299
val_epoch,64,0.00086204,1.066846,0.708738,4.687
train_epoch,65,0.00081974,1.022534,,7.573
val_epoch,65,0.00081974,1.066432,0.710617,4.413
train_epoch,66,0.00077811,1.022815,,7.320
val_epoch,66,0.00077811,1.068090,0.707798,4.309
train_epoch,67,0.00073719,1.023974,,7.245
val_epoch,67,0.00073719,1.067038,0.710617,4.495
train_epoch,68,0.00069703,1.024028,,7.518
val_epoch,68,0.00069703,1.067388,0.707172,4.564
train_epoch,69,0.00065766,1.022972,,7.332
val_epoch,69,0.00065766,1.066470,0.707798,4.410
train_epoch,70,0.00061912,1.021491,,7.372
val_epoch,70,0.00061912,1.066484,0.711870,4.724
train_epoch,71,0.00058145,1.021037,,7.360
val_epoch,71,0.00058145,1.066859,0.707485,4.584
train_epoch,72,0.00054468,1.020424,,7.141
val_epoch,72,0.00054468,1.065734,0.710304,4.521
train_epoch,73,0.00050886,1.022162,,7.226
val_epoch,73,0.00050886,1.068923,0.707798,4.530
train_epoch,74,0.00047402,1.020847,,7.259
val_epoch,74,0.00047402,1.068214,0.711243,4.588
train_epoch,75,0.00044019,1.021907,,7.694
val_epoch,75,0.00044019,1.067724,0.708111,4.438
train_epoch,76,0.00040741,1.019354,,7.474
val_epoch,76,0.00040741,1.065797,0.708111,4.381
train_epoch,77,0.00037571,1.019130,,7.191
val_epoch,77,0.00037571,1.066582,0.710930,4.637
train_epoch,78,0.00034512,1.019497,,7.317
val_epoch,78,0.00034512,1.065673,0.709364,4.562
train_epoch,79,0.00031566,1.020414,,7.335
val_epoch,79,0.00031566,1.066342,0.713436,4.374
train_epoch,80,0.00028738,1.018401,,7.122
val_epoch,80,0.00028738,1.065694,0.709677,4.487
train_epoch,81,0.00026029,1.019428,,7.383
val_epoch,81,0.00026029,1.065575,0.709991,4.569
train_epoch,82,0.00023443,1.020908,,7.346
val_epoch,82,0.00023443,1.064247,0.712496,4.596
train_epoch,83,0.00020982,1.018659,,7.178
val_epoch,83,0.00020982,1.064781,0.708425,4.620
train_epoch,84,0.00018648,1.017241,,7.192
val_epoch,84,0.00018648,1.064616,0.712496,4.601
train_epoch,85,0.00016444,1.019757,,7.392
val_epoch,85,0.00016444,1.065145,0.711870,4.445
train_epoch,86,0.00014371,1.020070,,7.288
val_epoch,86,0.00014371,1.064866,0.710304,4.712
train_epoch,87,0.00012433,1.018015,,7.332
val_epoch,87,0.00012433,1.064437,0.711557,4.397
train_epoch,88,0.00010630,1.018728,,7.647
val_epoch,88,0.00010630,1.064406,0.710930,4.669
train_epoch,89,0.00008965,1.016813,,7.266
val_epoch,89,0.00008965,1.064319,0.713122,4.444
train_epoch,90,0.00007439,1.018214,,7.435
val_epoch,90,0.00007439,1.064231,0.709991,4.526
train_epoch,91,0.00006054,1.017543,,7.347
val_epoch,91,0.00006054,1.064470,0.710617,4.644
train_epoch,92,0.00004811,1.017326,,7.223
val_epoch,92,0.00004811,1.064194,0.711557,4.564
train_epoch,93,0.00003711,1.015786,,7.428
val_epoch,93,0.00003711,1.064142,0.710930,4.574
train_epoch,94,0.00002756,1.017151,,7.375
val_epoch,94,0.00002756,1.064176,0.711557,4.509
train_epoch,95,0.00001946,1.015478,,7.499
val_epoch,95,0.00001946,1.064166,0.711243,4.594
train_epoch,96,0.00001282,1.017465,,7.213
val_epoch,96,0.00001282,1.064224,0.711870,4.446
train_epoch,97,0.00000765,1.016190,,7.570
val_epoch,97,0.00000765,1.064227,0.711870,4.568
train_epoch,98,0.00000396,1.018737,,7.276
val_epoch,98,0.00000396,1.064189,0.711870,4.416
train_epoch,99,0.00000174,1.015654,,7.445
val_epoch,99,0.00000174,1.064184,0.711870,4.364
