,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
t0,37,3,10,11,0,8,2,35,1,2
t1,1,128,11,8,0,10,2,13,5,7
t2,0,7,229,1,0,3,6,2,0,2
t3,1,8,7,175,0,0,4,2,0,1
t4,0,0,0,8,7,0,0,1,3,9
t5,5,6,12,3,1,134,24,29,2,1
t6,0,1,12,1,0,12,117,34,1,1
t7,17,7,7,4,0,45,27,160,2,4
t8,0,1,0,0,1,0,1,5,126,23
t9,0,2,1,4,0,3,1,2,5,160
